"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"20p","desc","C11,","0805_C","libref","2","1","","",
"102","desc","C12,C8,C4,C3,C2,C1,","0805_C","libref","2","6","","",
"103","desc","C15,C10,","0805_C","libref","2","2","","",
"1uF","desc","C16,","0805_C","libref","2","1","","",
"104","desc","C19,C17,C14,C13,C7,","0805_C","libref","2","5","","",
"104","desc","C5,","1206_C","libref","2","1","","",
"10uF","desc","C6,","0805_C","libref","2","1","","",
"10uF","desc","C9,C18,","1206_C","libref","2","2","","",
"1N4148","desc","D6,D5,D1,","LL-34","libref","2","3","","",
"Ferrite_Bead_Small","desc","FB1,","0805_L","libref","2","1","","",
"1uH","desc","L9,L8,L7,L6,L5,L4,L3,L2,L1,","0805_L","libref","2","9","","",
"8550","desc","Q2,","SOT-23(SOT-23-3)","libref","3","1","","",
"8050","desc","Q3,Q1,","SOT-23(SOT-23-3)","libref","3","2","","",
"10K","desc","R1,","0805_R","libref","2","1","","",
"1K","desc","R13,R12,R11,R5,R3,","0805_R","libref","2","5","","",
"10k","desc","R15,","0805_R","libref","2","1","","",
"R_Small","desc","R19,R18,R17,R16,R6,R4,","0805_R","libref","2","6","","",
"4.7K","desc","R2,","0805_R","libref","2","1","","",
"100","desc","R20,","0805_R","libref","2","1","","",
"2.2K","desc","R22,R21,R10,R7,","0805_R","libref","2","4","","",
"0","desc","R23,R14,R9,R8,","0805_R","libref","2","4","","",
"ICL7660","desc","U1,","SOIC-8_150MIL","libref","8","1","","",
"LMV321","desc","U2,","SOT-23-5","libref","5","1","","",
"TL431","desc","U3,","SOT-23(SOT-23-3)","libref","3","1","","",
"Through Hole Items ",
"LED","desc","D4,D3,D2,","LED_D3.0mm_Horizontal_O6.35mm_Z10.0mm","libref","2","3","","",
"RS232 CAT","desc","J1,","PhoenixContact_MC-G_04x3.81mm_Angled","libref","4","1","","",
"AudioJack_PJ325","desc","J10,J8,J6,J4,","PJ325","libref","5","4","","",
"DR9_Dual_Male","desc","J2,","DR9","libref","22","1","","",
"CIV out","desc","J3,","PhoenixContact_MC-G_02x3.81mm_Angled","libref","2","1","","",
"RF sense","desc","J5,","PhoenixContact_MC-G_02x3.81mm_Angled","libref","2","1","","",
"ALC trig","desc","J7,","PhoenixContact_MC-G_02x3.81mm_Angled","libref","2","1","","",
"+5V","desc","J9,","PhoenixContact_MC-G_02x3.81mm_Angled","libref","2","1","","",
"10K","desc","RV1,","Potentiometer_Trimmer_Bourns_3296W","libref","3","1","","",
"Conn_01x01","desc","SC2,SC1,","M3_Screwhole","libref","7","2","","",
