"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0805_C","25.2mm","28.6mm","25.2mm","28.6mm","25.2mm","27.71mm","T","90","102",
"C10","0805_C","45.8mm","29.8mm","45.8mm","29.8mm","44.91mm","29.8mm","T","0","103",
"C11","0805_C","45.8mm","35.8mm","45.8mm","35.8mm","46.69mm","35.8mm","T","180","20p",
"C12","0805_C","57.0mm","36.2mm","57.0mm","36.2mm","57.0mm","37.09mm","T","270","102",
"C13","0805_C","59.8mm","16.2mm","59.8mm","16.2mm","58.91mm","16.2mm","T","0","104",
"C14","0805_C","56.0mm","30.0mm","56.0mm","30.0mm","55.11mm","30.0mm","T","0","104",
"C15","0805_C","65.8mm","37.2mm","65.8mm","37.2mm","64.91mm","37.2mm","T","0","103",
"C16","0805_C","71.2mm","26.8mm","71.2mm","26.8mm","70.31mm","26.8mm","T","0","1uF",
"C17","0805_C","84.6mm","36.0mm","84.6mm","36.0mm","84.6mm","35.11mm","T","90","104",
"C18","1206_C","80.8mm","36.0mm","80.8mm","36.0mm","80.8mm","34.51mm","T","90","10uF",
"C19","0805_C","74.0mm","14.8mm","74.0mm","14.8mm","73.11mm","14.8mm","T","0","104",
"C2","0805_C","21.8mm","28.6mm","21.8mm","28.6mm","21.8mm","27.71mm","T","90","102",
"C3","0805_C","18.4mm","28.6mm","18.4mm","28.6mm","18.4mm","27.71mm","T","90","102",
"C4","0805_C","14.0mm","28.4mm","14.0mm","28.4mm","14.0mm","27.51mm","T","90","102",
"C5","1206_C","48.6mm","22.4mm","48.6mm","22.4mm","50.09mm","22.4mm","T","180","104",
"C6","0805_C","56.0mm","13.4mm","56.0mm","13.4mm","56.0mm","12.51mm","T","90","10uF",
"C7","0805_C","61.8mm","21.8mm","61.8mm","21.8mm","61.8mm","22.69mm","T","270","104",
"C8","0805_C","48.2mm","16.2mm","48.2mm","16.2mm","49.09mm","16.2mm","T","180","102",
