"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"330pF 2KV","desc","C102,C102,C100,C100,C101,C94,C94,C85,C84,C68,C69,C70,C103,C102,C101,C100,C99,C98,C97,C96,C95,C94,C93,C92,C91,C90,C89,C85,C84,C75,C74,C73,C70,C69,C68,","C_1812_HandSoldering","libref","2","35","","",
"104","desc","C2,","0805_C","libref","2","1","","",
"47pF 3KV","desc","C30,C29,C31,C28,C30,C29,C31,C28,C37,C36,C35,C34,C33,C31,C30,C29,C28,","C_1812_HandSoldering","libref","2","17","","",
"10pF 3KV","desc","C38,C38,C39,C26,C23,C24,C25,C18,C18,C16,C17,C11,C12,C4,C3,C5,C41,C40,C39,C38,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C16,C12,C11,C7,C6,C5,C4,C3,","C_1812_HandSoldering","libref","2","38","","",
"47pF 2KV","desc","C44,C43,C46,C45,C44,C43,C46,C45,C44,C43,C46,C45,C44,C43,C46,C45,C46,C45,C44,C43,","C_1812_HandSoldering","libref","2","20","","",
"33pF 3KV","desc","C47,C47,C47,C47,C32,C32,C27,C15,C9,C8,C10,C52,C47,C42,C32,C27,C15,C14,C13,C10,C9,C8,","C_1812_HandSoldering","libref","2","22","","",
"68pF 3KV","desc","C61,C61,C61,C60,C59,C58,C57,","C_1812_HandSoldering","libref","2","7","","",
"180pF 2KV","desc","C78,C78,C71,C78,C76,C71,C62,C53,C48,","C_1812_HandSoldering","libref","2","9","","",
"100pF 2KV","desc","C88,C86,C87,C72,C64,C66,C67,C65,C106,C105,C104,C88,C87,C86,C83,C82,C81,C80,C79,C77,C72,C67,C66,C65,C64,C63,C56,C55,C54,C51,C50,C49,","C_1812_HandSoldering","libref","2","32","","",
"SD103","desc","D8,D7,D6,D5,D4,D3,D2,D1,","SOD-123","libref","2","8","","",
"ULN2003A","desc","U1,","SOIC-16_150MIL","libref","16","1","","",
"Through Hole Items ",
"10uF","desc","C1,","CP_Radial_D5.0mm_P2.50mm","libref","2","1","","",
"RF out","desc","J1,","RF_conn_pad_short","libref","33","1","","",
"RF in","desc","J2,","RF_conn_pad_short","libref","33","1","","",
"Conn_01x08","desc","J3,","JST_XH_B08B-XH-A_08x2.50mm_Straight","libref","8","1","","",
"Bridge","desc","JP4,JP3,JP2,JP1,","Core_T106","libref","2","4","","",
"Bridge","desc","JP5,","Core_T130","libref","2","1","","",
"G2RL-1-E","desc","K4,K1,K8,K7,K6,K5,K3,K2,","G2RL-1-E","libref","8","8","","",
"2.48uH 15T@T106-2","desc","L12,L11,L10,","Core_T106","libref","2","3","","",
"5.32uH 22T@T130-2","desc","L14,","Core_T130","libref","2","1","","",
"4.4uH 20T@T130-2","desc","L15,L13,","Core_T130","libref","2","2","","",
"420nH 6T@T106-6","desc","L3,L1,","Core_T106","libref","2","2","","",
"740nH 8T@T106-6","desc","L5,","Core_T106","libref","2","1","","",
"570nH 7T@T106-6","desc","L6,L4,L2,","Core_T106","libref","2","3","","",
"1.16uH 10T@T106-6","desc","L8,","Core_T106","libref","2","1","","",
"940nH 9T@T106-6","desc","L9,L7,","Core_T106","libref","2","2","","",
"GND","desc","SC4,SC3,SC2,SC,","M3_Screwhole","libref","7","4","","",
