"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C10","C_1812_HandSoldering","28.005204mm","76.540738mm","28.005204mm","76.540738mm","30.055814mm","74.490128mm","B","135","33pF 3KV",
"C10","C_1812_HandSoldering","20.244796mm","84.209262mm","20.244796mm","84.209262mm","18.194186mm","86.259872mm","B","315","33pF 3KV",
"C100","C_1812_HandSoldering","181.0mm","50.5mm","181.0mm","50.5mm","178.94939mm","48.44939mm","B","45","330pF 2KV",
"C100","C_1812_HandSoldering","186.828427mm","44.671573mm","186.828427mm","44.671573mm","184.777817mm","42.620963mm","B","45","330pF 2KV",
"C100","C_1812_HandSoldering","192.803301mm","39.035534mm","192.803301mm","39.035534mm","190.752691mm","36.984924mm","B","45","330pF 2KV",
"C101","C_1812_HandSoldering","184.0mm","47.5mm","184.0mm","47.5mm","181.94939mm","45.44939mm","B","45","330pF 2KV",
"C101","C_1812_HandSoldering","189.974874mm","41.863961mm","189.974874mm","41.863961mm","187.924264mm","39.813351mm","B","45","330pF 2KV",
"C102","C_1812_HandSoldering","210.5mm","19.0mm","210.5mm","19.0mm","212.55061mm","16.94939mm","B","135","330pF 2KV",
"C102","C_1812_HandSoldering","204.5mm","13.0mm","204.5mm","13.0mm","206.55061mm","10.94939mm","B","135","330pF 2KV",
"C102","C_1812_HandSoldering","207.5mm","16.0mm","207.5mm","16.0mm","209.55061mm","13.94939mm","B","135","330pF 2KV",
"C103","C_1812_HandSoldering","197.757359mm","20.578427mm","197.757359mm","20.578427mm","195.706749mm","22.629037mm","B","315","330pF 2KV",
"C104","C_1812_HandSoldering","200.585786mm","23.406854mm","200.585786mm","23.406854mm","198.535176mm","25.457464mm","B","315","100pF 2KV",
"C105","C_1812_HandSoldering","203.414214mm","26.235281mm","203.414214mm","26.235281mm","201.363604mm","28.285891mm","B","315","100pF 2KV",
"C106","C_1812_HandSoldering","206.242641mm","29.063708mm","206.242641mm","29.063708mm","204.192031mm","31.114318mm","B","315","100pF 2KV",
"C11","C_1812_HandSoldering","25.176776mm","73.712311mm","25.176776mm","73.712311mm","27.227386mm","71.661701mm","B","135","10pF 3KV",
"C11","C_1812_HandSoldering","23.073223mm","87.037689mm","23.073223mm","87.037689mm","21.022613mm","89.088299mm","B","315","10pF 3KV",
"C12","C_1812_HandSoldering","22.34835mm","70.883883mm","22.34835mm","70.883883mm","24.39896mm","68.833273mm","B","135","10pF 3KV",
"C12","C_1812_HandSoldering","25.90165mm","89.866117mm","25.90165mm","89.866117mm","23.85104mm","91.916727mm","B","315","10pF 3KV",
"C13","C_1812_HandSoldering","8.171573mm","60.992641mm","8.171573mm","60.992641mm","10.222183mm","63.043251mm","B","225","33pF 3KV",
"C14","C_1812_HandSoldering","11.0mm","58.164214mm","11.0mm","58.164214mm","13.05061mm","60.214824mm","B","225","33pF 3KV",
"C15","C_1812_HandSoldering","11.421573mm","42.664213mm","11.421573mm","42.664213mm","9.370963mm","40.613603mm","B","45","33pF 3KV",
"C15","C_1812_HandSoldering","13.828427mm","55.335786mm","13.828427mm","55.335786mm","15.879037mm","57.386396mm","B","225","33pF 3KV",
"C16","C_1812_HandSoldering","8.593146mm","45.492641mm","8.593146mm","45.492641mm","6.542536mm","43.442031mm","B","45","10pF 3KV",
"C16","C_1812_HandSoldering","16.656854mm","52.507359mm","16.656854mm","52.507359mm","18.707464mm","54.557969mm","B","225","10pF 3KV",
"C17","C_1812_HandSoldering","5.764719mm","48.321068mm","5.764719mm","48.321068mm","3.714109mm","46.270458mm","B","45","10pF 3KV",
"C17","C_1812_HandSoldering","19.485281mm","49.678932mm","19.485281mm","49.678932mm","21.535891mm","51.729542mm","B","225","10pF 3KV",
"C18","C_1812_HandSoldering","34.0mm","26.4mm","34.0mm","26.4mm","34.0mm","23.5mm","B","90","10pF 3KV",
"C18","C_1812_HandSoldering","33.75mm","35.305456mm","33.75mm","35.305456mm","33.75mm","38.205456mm","B","270","10pF 3KV",
"C18","C_1812_HandSoldering","37.641243mm","35.305456mm","37.641243mm","35.305456mm","37.641243mm","38.205456mm","B","270","10pF 3KV",
"C19","C_1812_HandSoldering","48.0mm","32.75mm","48.0mm","32.75mm","50.05061mm","34.80061mm","B","225","10pF 3KV",
"C2","0805_C","200.75mm","138.25mm","200.75mm","138.25mm","200.75mm","139.14mm","B","270","104",
