"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"C_Small","desc","C34,C33,C23,C22,C21,C2,C1,","C_0805","libref","2","7","","",
"1nF","desc","C38,","C_0805","libref","2","1","","",
"102","desc","C39,","C_0805","libref","2","1","","",
"10nF NP0","desc","C43,","C_0805","libref","2","1","","",
"47pF","desc","C44,","C_0805","libref","2","1","","",
"10uF","desc","C50,C49,C45,C37,C36,C35,C11,","C_0805","libref","2","7","","",
"104","desc","C60,C59,C58,C57,C56,C55,C54,C53,C52,C48,C47,C41,C40,C32,C31,C30,C29,C28,C27,C26,C25,C24,C20,C19,C18,C17,C16,C15,C14,C13,C12,C10,C9,C8,C7,C6,C5,C4,C3,","C_0805","libref","2","39","","",
"SS14","desc","D10,D9,","SMA(DO-214AC)_S1","libref","2","2","","",
"T1H","desc","D15,","LED_0805","libref","2","1","","",
"T2H","desc","D16,","LED_0805","libref","2","1","","",
"VmH","desc","D17,","LED_0805","libref","2","1","","",
"ImH","desc","D18,","LED_0805","libref","2","1","","",
"R1H","desc","D19,","LED_0805","libref","2","1","","",
"R2H","desc","D20,","LED_0805","libref","2","1","","",
"OD","desc","D21,","LED_0805","libref","2","1","","",
"Power","desc","D22,","LED_0805","libref","2","1","","",
"LED","desc","D24,D14,D13,","LED_0805","libref","2","3","","",
"SD103","desc","D26,D25,D23,D12,D11,","SOD-123","libref","2","5","","",
"D","desc","D7,D6,D5,D4,D3,D2,D1,","LL-34","libref","2","7","","",
"16V","desc","D8,","LL-34","libref","2","1","","",
"2A","desc","F1,","R_1206","libref","2","1","","",
"1K","desc","FB6,FB5,FB3,FB2,FB1,R72,R61,R60,R58,R54,R44,R43,R41,R40,R39,R38,R37,R36,R35,R34,R33,R32,R31,R30,R29,R28,R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R17,R16,R15,","R_0805","libref","2","39","","",
"1K","desc","FB7,","R_1206","libref","2","1","","",
"600Ohm","desc","L3,L2,L1,","L_0805","libref","2","3","","",
"BEAD","desc","L4,","L_1206","libref","2","1","","",
"22uH","desc","L5,","L_SMD4030_hand","libref","2","1","","",
"AO3402","desc","Q11,Q10,","SOT-23(SOT-23-3)","libref","3","2","","",
"8550","desc","Q6,Q8,Q4,","SOT-23(SOT-23-3)","libref","3","3","","",
"8050","desc","Q9,Q7,Q5,Q3,Q2,Q1,","SOT-23(SOT-23-3)","libref","3","6","","",
"22K","desc","R42,","R_0805","libref","2","1","","",
"33k","desc","R46,","R_0805","libref","2","1","","",
"68K","desc","R47,","R_0805","libref","2","1","","",
"47K","desc","R51,","R_0805","libref","2","1","","",
"10","desc","R55,","R_0805","libref","2","1","","",
"3.3K","desc","R59,","R_0805","libref","2","1","","",
