"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"47K1","R_0805","87.5mm","85.5mm","87.5mm","85.5mm","87.5mm","86.45mm","B","270","R_Small",
"C1","C_0805","48.834mm","38.72mm","48.834mm","38.72mm","49.541107mm","39.427107mm","B","225","C_Small",
"C10","C_0805","38.719mm","35.326mm","38.719mm","35.326mm","38.011893mm","36.033107mm","B","315","104",
"C11","C_0805","37.219mm","33.826mm","37.219mm","33.826mm","36.511893mm","34.533107mm","B","315","10uF",
"C12","C_0805","51.9mm","6.7mm","51.9mm","6.7mm","50.9mm","6.7mm","B","0","104",
"C13","C_0805","107.6mm","82.25mm","107.6mm","82.25mm","108.6mm","82.25mm","B","180","104",
"C14","C_0805","106.5mm","65.6mm","106.5mm","65.6mm","107.5mm","65.6mm","B","180","104",
"C15","C_0805","120.0mm","88.5mm","120.0mm","88.5mm","119.0mm","88.5mm","B","0","104",
"C16","C_0805","120.0mm","84.5mm","120.0mm","84.5mm","119.0mm","84.5mm","B","0","104",
"C17","C_0805","120.0mm","73.0mm","120.0mm","73.0mm","119.0mm","73.0mm","B","0","104",
"C18","C_0805","120.0mm","62.75mm","120.0mm","62.75mm","119.0mm","62.75mm","B","0","104",
"C19","C_0805","119.5mm","69.0mm","119.5mm","69.0mm","118.5mm","69.0mm","B","0","104",
"C2","C_0805","44.627mm","42.611mm","44.627mm","42.611mm","43.919893mm","41.903893mm","B","45","C_Small",
"C20","C_0805","106.5mm","71.6mm","106.5mm","71.6mm","107.5mm","71.6mm","B","180","104",
"C21","C_0805","108.5mm","39.0mm","108.5mm","39.0mm","108.5mm","38.0mm","B","90","C_Small",
"C22","C_0805","106.9mm","28.8mm","106.9mm","28.8mm","107.9mm","28.8mm","B","180","C_Small",
"C23","C_0805","104.4mm","52.1mm","104.4mm","52.1mm","103.4mm","52.1mm","B","0","C_Small",
"C24","C_0805","120.0mm","24.5mm","120.0mm","24.5mm","119.0mm","24.5mm","B","0","104",
"C25","C_0805","120.0mm","28.5mm","120.0mm","28.5mm","119.0mm","28.5mm","B","0","104",
"C26","C_0805","120.0mm","32.5mm","120.0mm","32.5mm","119.0mm","32.5mm","B","0","104",
"C27","C_0805","120.0mm","36.5mm","120.0mm","36.5mm","119.0mm","36.5mm","B","0","104",
"C28","C_0805","120.0mm","43.0mm","120.0mm","43.0mm","119.0mm","43.0mm","B","0","104",
"C29","C_0805","120.0mm","47.0mm","120.0mm","47.0mm","119.0mm","47.0mm","B","0","104",
"C3","C_0805","46.0mm","67.0mm","46.0mm","67.0mm","46.707107mm","66.292893mm","B","135","104",
"C30","C_0805","120.0mm","51.0mm","120.0mm","51.0mm","119.0mm","51.0mm","B","0","104",
"C31","C_0805","120.0mm","55.0mm","120.0mm","55.0mm","119.0mm","55.0mm","B","0","104",
"C32","C_0805","117.0mm","18.2mm","117.0mm","18.2mm","117.0mm","19.2mm","B","270","104",
"C33","C_0805","58.35mm","10.85mm","58.35mm","10.85mm","58.35mm","11.85mm","B","270","C_Small",
"C34","C_0805","65.349999mm","10.35mm","65.349999mm","10.35mm","66.349999mm","10.35mm","B","180","C_Small",
"C35","C_0805","99.7mm","84.2mm","99.7mm","84.2mm","100.7mm","84.2mm","B","180","10uF",
"C36","C_0805","96.25mm","91.0mm","96.25mm","91.0mm","96.25mm","90.0mm","B","90","10uF",
"C37","C_0805","64.35mm","13.85mm","64.35mm","13.85mm","64.35mm","14.85mm","B","270","10uF",
