"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"1nF","desc","C1,","0805_C","libref","2","1","","",
"104","desc","C10,C6,","0805_C","libref","2","2","","",
"100uF 16V","desc","C11,","CP_Elec_6.3x5.8","libref","2","1","","",
"1uF","desc","C12,C2,","0805_C","libref","2","2","","",
"103","desc","C13,","0805_C","libref","2","1","","",
"104 100V","desc","C3,","1206_C","libref","2","1","","",
"100V 4.7uF","desc","C5,C4,","1210_C","libref","2","2","","",
"6.8pF NP0","desc","C7,","0805_C","libref","2","1","","",
"3.3nF NP0","desc","C8,","0805_C","libref","2","1","","",
"10nF","desc","C9,","0805_C","libref","2","1","","",
"60V","desc","D1,","SMB(DO-214AA)_S5","libref","2","1","","",
"SK310","desc","D2,","SMC(DO-214AB)_S1","libref","2","1","","",
"LED","desc","D3,","LED_0805","libref","2","1","","",
"500mA","desc","F1,","1206_R","libref","2","1","","",
"1K","desc","FB1,","1206_R","libref","2","1","","",
"120uH 3A","desc","L1,","L_12.6mm_13.5mm","libref","2","1","","",
"2N5551","desc","Q1,","SOT-23(SOT-23-3)","libref","3","1","","",
"SUP90P06","desc","Q2,","TO-220-External_Thermal_Mount","libref","3","1","","",
"47K","desc","R1,","0805_R","libref","2","1","","",
"3.3K","desc","R11,","0805_R","libref","2","1","","",
"330K","desc","R15,","0805_R","libref","2","1","","",
"1K","desc","R17,","0805_R","libref","2","1","","",
"100K","desc","R18,R14,R10,R5,","0805_R","libref","2","4","","",
"33K","desc","R19,","0805_R","libref","2","1","","",
"2.2K","desc","R2,","0805_R","libref","2","1","","",
"10K","desc","R20,R16,R3,","0805_R","libref","2","3","","",
"10k","desc","R4,","0805_R","libref","2","1","","",
"R_Small","desc","R6,","0805_R","libref","2","1","","",
"33k","desc","R7,","0805_R","libref","2","1","","",
"0","desc","R8,","0805_R","libref","2","1","","",
"1M","desc","R9,","0805_R","libref","2","1","","",
"L78L05_SOT89","desc","U1,","SOT-89(SOT-89-3)","libref","4","1","","",
"OP07","desc","U2,","SOIC-8_150MIL","libref","8","1","","",
"TPS54160","desc","U3,","MSOP-10-1EP_W3mm","libref","11","1","","",
"Through Hole Items ",
"50V in","desc","J3,","PCB-10B-M4","libref","2","1","","",
"Conn_01x04","desc","J5,","JST_XH_B04B-XH-A_04x2.50mm_Straight","libref","4","1","","",
"GND","desc","J7,J6,J1,","PCB-10B-M4","libref","2","3","","",
"Conn_01x04","desc","J8,","PhoenixContact_MC-G_04x3.81mm_Angled","libref","4","1","","",
"GND","desc","SC2,SC1,","M3_Screwhole","libref","7","2","","",
"ACS758xCB-100B-PFF","desc","U4,","Allegro_CB_PFF","libref","37","1","","",
