"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0805_C","43.0mm","33.75mm","43.0mm","33.75mm","43.0mm","34.64mm","T","270","1nF",
"C10","0805_C","38.0mm","6.77mm","38.0mm","6.77mm","38.0mm","5.88mm","T","90","104",
"C11","CP_Elec_6.3x5.8","10.6mm","21.35mm","10.6mm","21.35mm","10.6mm","18.65mm","T","90","100uF 16V",
"C12","0805_C","57.595mm","2.75mm","57.595mm","2.75mm","56.705mm","2.75mm","T","0","1uF",
"C13","0805_C","64.0mm","16.25mm","64.0mm","16.25mm","64.0mm","17.14mm","T","270","103",
"C2","0805_C","57.595mm","10.726mm","57.595mm","10.726mm","56.705mm","10.726mm","T","0","1uF",
"C3","1206_C","40.75mm","7.25mm","40.75mm","7.25mm","40.75mm","8.74mm","T","270","104 100V",
"C4","1210_C","44.25mm","7.25mm","44.25mm","7.25mm","44.25mm","8.725mm","T","270","100V 4.7uF",
"C5","1210_C","48.25mm","7.25mm","48.25mm","7.25mm","48.25mm","8.725mm","T","270","100V 4.7uF",
"C6","0805_C","47.4mm","19.25mm","47.4mm","19.25mm","46.51mm","19.25mm","T","0","104",
"C7","0805_C","29.25mm","10.627mm","29.25mm","10.627mm","29.25mm","11.517mm","T","270","6.8pF NP0",
"C8","0805_C","26.25mm","10.627mm","26.25mm","10.627mm","26.25mm","11.517mm","T","270","3.3nF NP0",
"C9","0805_C","40.5mm","12.5mm","40.5mm","12.5mm","40.5mm","11.61mm","T","90","10nF",
"D1","SMB(DO-214AA)_S5","53.0mm","5.85mm","53.0mm","5.85mm","53.0mm","8.06mm","T","90","60V",
"D2","SMC(DO-214AB)_S1","30.2mm","5.0mm","30.2mm","5.0mm","33.7685mm","5.0mm","T","0","SK310",
"D3","LED_0805","36.6mm","15.93mm","36.6mm","15.93mm","35.5mm","15.93mm","T","0","LED",
"F1","1206_R","53.5mm","12.75mm","53.5mm","12.75mm","53.5mm","11.26mm","T","90","500mA",
"FB1","1206_R","49.75mm","12.75mm","49.75mm","12.75mm","49.75mm","14.24mm","T","270","1K",
"L1","L_12.6mm_13.5mm","17.25mm","9.75mm","17.25mm","9.75mm","17.25mm","3.75mm","T","90","120uH 3A",
"Q1","SOT-23(SOT-23-3)","36.6mm","33.45mm","36.6mm","33.45mm","37.85mm","32.5mm","T","0","2N5551",
"Q2","TO-220-External_Thermal_Mount","34.0mm","42.0mm","34.0mm","42.0mm","30.95mm","42.0mm","T","0","SUP90P06",
"R1","0805_R","62.994mm","12.75mm","62.994mm","12.75mm","62.104mm","12.75mm","T","0","47K",
