"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"C_Small","desc","C1,","C_0805","libref","2","1","","",
"104","desc","C10,C6,","C_0805","libref","2","2","","",
"100uF 16V","desc","C11,","CP_Elec_6.3x5.8","libref","2","1","","",
"1uF","desc","C12,C2,","C_0805","libref","2","2","","",
"104 100V","desc","C3,","C_1206","libref","2","1","","",
"100V 4.7uF","desc","C5,C4,","C_1210","libref","2","2","","",
"6.8pF NP0","desc","C7,","C_0805","libref","2","1","","",
"3.3nF NP0","desc","C8,","C_0805","libref","2","1","","",
"10nF","desc","C9,","C_0805","libref","2","1","","",
"60V","desc","D1,","SMB(DO-214AA)_S5","libref","2","1","","",
"SK310","desc","D2,","SMC(DO-214AB)_S1","libref","2","1","","",
"LED","desc","D3,","LED_0805","libref","2","1","","",
"500mA","desc","F1,","R_1206","libref","2","1","","",
"1K","desc","FB1,","R_1206","libref","2","1","","",
"120uH 3A","desc","L1,","L_12.6mm_13.5mm","libref","2","1","","",
"2N5551","desc","Q1,","SOT-23(SOT-23-3)","libref","3","1","","",
"SUP90P06","desc","Q2,","TO-220-External_Thermal_Mount","libref","3","1","","",
"3.3K","desc","R11,R2,","R_0805","libref","2","2","","",
"1mOhm","desc","R13,","5930","libref","2","1","","",
"100K","desc","R14,R10,","R_0805","libref","2","2","","",
"330K","desc","R15,","R_0805","libref","2","1","","",
"1K","desc","R17,R12,R9,","R_0805","libref","2","3","","",
"100","desc","R18,","R_0805","libref","2","1","","",
"33K","desc","R19,","R_0805","libref","2","1","","",
"10K","desc","R20,R16,","R_0805","libref","2","2","","",
"R_Small","desc","R7,R6,R5,R4,R3,","R_0805","libref","2","5","","",
"47K","desc","R8,R1,","R_0805","libref","2","2","","",
"L78L05_SOT89","desc","U1,","SOT-89(SOT-89-3)","libref","4","1","","",
"OP07","desc","U2,","SOIC-8_150MIL","libref","8","1","","",
"TPS54160","desc","U3,","MSOP-10-1EP_W3mm","libref","11","1","","",
"Through Hole Items ",
"50V in","desc","J3,","PCB-10B-M4","libref","2","1","","",
"Conn_01x04","desc","J5,","JST_XH_B04B-XH-A_04x2.50mm_Straight","libref","4","1","","",
"GND","desc","J7,J6,J1,","PCB-10B-M4","libref","2","3","","",
"Conn_01x02","desc","J8,","508CON-2P","libref","2","1","","",
"GND","desc","SC2,SC1,","M3_Screwhole","libref","7","2","","",
