"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0805","41.8mm","33.0mm","41.8mm","33.0mm","41.8mm","34.0mm","T","270","C_Small",
"C10","C_0805","37.404mm","6.77mm","37.404mm","6.77mm","37.404mm","5.77mm","T","90","104",
"C11","CP_Elec_6.3x5.8","6.0mm","18.2mm","6.0mm","18.2mm","6.0mm","15.5mm","T","90","100uF 16V",
"C12","C_0805","54.345mm","3.197mm","54.345mm","3.197mm","53.345mm","3.197mm","T","0","1uF",
"C2","C_0805","54.345mm","10.726mm","54.345mm","10.726mm","53.345mm","10.726mm","T","0","1uF",
"C3","C_1206","39.300001mm","7.746mm","39.300001mm","7.746mm","39.300001mm","9.246mm","T","270","104 100V",
"C4","C_1210","42.05mm","7.746mm","42.05mm","7.746mm","42.05mm","9.246mm","T","270","100V 4.7uF",
"C5","C_1210","45.3mm","7.746mm","45.3mm","7.746mm","45.3mm","9.246mm","T","270","100V 4.7uF",
"C6","C_0805","48.2mm","17.781mm","48.2mm","17.781mm","48.2mm","18.781mm","T","270","104",
"C7","C_0805","29.784mm","10.627mm","29.784mm","10.627mm","29.784mm","11.627mm","T","270","6.8pF NP0",
"C8","C_0805","26.800001mm","10.627mm","26.800001mm","10.627mm","26.800001mm","11.627mm","T","270","3.3nF NP0",
"C9","C_0805","39.300001mm","12.5mm","39.300001mm","12.5mm","39.300001mm","11.5mm","T","90","10nF",
"D1","SMB(DO-214AA)_S5","49.563mm","4.802mm","49.563mm","4.802mm","49.563mm","7.012mm","T","90","60V",
"D2","SMC(DO-214AB)_S1","30.2mm","5.0mm","30.2mm","5.0mm","33.7685mm","5.0mm","T","0","SK310",
"D3","LED_0805","36.6mm","15.93mm","36.6mm","15.93mm","35.5mm","15.93mm","T","0","LED",
"F1","R_1206","48.801mm","12.676mm","48.801mm","12.676mm","48.801mm","11.226mm","T","90","500mA",
"FB1","R_1206","46.05mm","12.75mm","46.05mm","12.75mm","46.05mm","14.2mm","T","270","1K",
"L1","L_12.6mm_13.5mm","17.084mm","10.088mm","17.084mm","10.088mm","17.084mm","4.088mm","T","90","120uH 3A",
"Q1","SOT-23(SOT-23-3)","36.6mm","34.2mm","36.6mm","34.2mm","37.85mm","33.25mm","T","0","2N5551",
"Q2","TO-220-External_Thermal_Mount","34.0mm","42.0mm","34.0mm","42.0mm","30.95mm","42.0mm","T","0","SUP90P06",
"R1","R_0805","58.994mm","12.247mm","58.994mm","12.247mm","58.044mm","12.247mm","T","0","47K",
"R10","R_0805","43.8mm","12.25mm","43.8mm","12.25mm","43.8mm","11.3mm","T","90","100K",
