"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"Through Hole Items ",
"R**","R_fake","38.0mm","25.0mm","38.0mm","25.0mm","38.0mm","35.0mm","T","0","R_fake",
"R**","R_fake","89.0mm","65.0mm","89.0mm","65.0mm","89.0mm","75.0mm","T","0","R_fake",
"R**","R_fake","89.0mm","25.0mm","89.0mm","25.0mm","89.0mm","37.375mm","T","0","R_fake",
"R**","R_fake","71.0mm","65.0mm","71.0mm","65.0mm","71.0mm","77.375mm","T","0","R_fake",
"R**","R_fake","71.0mm","25.0mm","71.0mm","25.0mm","71.0mm","35.0mm","T","0","R_fake",
"R**","R_fake","56.0mm","65.0mm","56.0mm","65.0mm","56.0mm","75.0mm","T","0","R_fake",
"R**","R_fake","56.0mm","25.0mm","56.0mm","25.0mm","56.0mm","37.375mm","T","0","R_fake",
"R**","R_fake","38.0mm","65.0mm","38.0mm","65.0mm","38.0mm","77.375mm","T","0","R_fake",
"R**","R_fake","23.0mm","25.0mm","23.0mm","25.0mm","23.0mm","35.0mm","T","0","R_fake",
"R**","R_fake","5.0mm","25.0mm","5.0mm","25.0mm","5.0mm","37.375mm","T","0","R_fake",
"R**","R_fake","23.0mm","65.0mm","23.0mm","65.0mm","23.0mm","77.375mm","T","0","R_fake",
"R**","R_fake","5.0mm","65.0mm","5.0mm","65.0mm","5.0mm","75.0mm","T","0","R_fake",
"REF**","R_Array_SIP6","63.0mm","1.3mm","63.0mm","1.3mm","63.0mm","1.3mm","T","90","R_Array_SIP6",
"REF**","R_Array_SIP6","63.0mm","65.3mm","63.0mm","65.3mm","63.0mm","65.3mm","T","90","R_Array_SIP6",
"REF**","R_Array_SIP6","30.0mm","1.3mm","30.0mm","1.3mm","30.0mm","1.3mm","T","90","R_Array_SIP6",
"REF**","R_Array_SIP6","30.0mm","16.3mm","30.0mm","16.3mm","30.0mm","16.3mm","T","90","R_Array_SIP6",
"REF**","R_Array_SIP6","30.0mm","32.3mm","30.0mm","32.3mm","30.0mm","32.3mm","T","90","R_Array_SIP6",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","80.0mm","11.0mm","80.0mm","11.0mm","80.0mm","11.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","47.0mm","12.0mm","47.0mm","12.0mm","47.0mm","12.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","14.0mm","12.0mm","14.0mm","12.0mm","14.0mm","12.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","14.0mm","32.0mm","14.0mm","32.0mm","14.0mm","32.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","47.0mm","32.0mm","47.0mm","32.0mm","47.0mm","32.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","80.0mm","32.0mm","80.0mm","32.0mm","80.0mm","32.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","80.0mm","53.0mm","80.0mm","53.0mm","80.0mm","53.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","47.0mm","53.0mm","47.0mm","53.0mm","47.0mm","53.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","14.0mm","53.0mm","14.0mm","53.0mm","14.0mm","53.0mm","T","90","CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal",
"REF**","R_Array_SIP6","63.0mm","17.3mm","63.0mm","17.3mm","63.0mm","17.3mm","T","90","R_Array_SIP6",
"REF**","R_Array_SIP6","63.0mm","33.3mm","63.0mm","33.3mm","63.0mm","33.3mm","T","90","R_Array_SIP6",
"REF**","R_Array_SIP6","30.0mm","65.0mm","30.0mm","65.0mm","30.0mm","65.0mm","T","90","R_Array_SIP6",
"REF**","R_Array_SIP6","63.0mm","49.0mm","63.0mm","49.0mm","63.0mm","49.0mm","T","90","R_Array_SIP6",
"REF**","R_Array_SIP6","30.0mm","48.3mm","30.0mm","48.3mm","30.0mm","48.3mm","T","90","R_Array_SIP6",
