"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"10p 1KV","desc","C1,","1206_C","libref","2","1","","",
"10uF","desc","C10,C9,","0805_C","libref","2","2","","",
"103","desc","C11,C7,","0805_C","libref","2","2","","",
"10nF","desc","C13,C12,C6,C5,","0805_C","libref","2","4","","",
"1uF","desc","C15,C3,","0805_C","libref","2","2","","",
"104","desc","C16,C14,C8,C4,C2,","0805_C","libref","2","5","","",
"SD123","desc","D5,","SOD-123","libref","2","1","","",
"BAT54S","desc","D6,D4,","SOT-23(SOT-23-3)","libref","3","2","","",
"1N4148","desc","D9,D8,D7,D2,D3,D1,","SOD-123","libref","2","6","","",
"10uH","desc","L2,L1,","0805_L","libref","2","2","","",
"56 2W","desc","R10,R9,","R_2512","libref","2","2","","",
"330","desc","R11,R8,","1206_R","libref","2","2","","",
"100","desc","R12,R7,","1206_R","libref","2","2","","",
"1M","desc","R15,R5,","R_0805","libref","2","2","","",
"100","desc","R16,R18,R17,R3,R2,R1,","0805_R","libref","2","6","","",
"1K","desc","R4,R14,","R_0805","libref","2","2","","",
"4.7K","desc","R6,R13,","R_0805","libref","2","2","","",
"1T","desc","T1,T1,","5943004901","libref","0","2","","",
"33T","desc","T2,T2,","5943004901","libref","0","2","","",
"AZ1117-3.3","desc","U3,","SOT-89(SOT-89-3)","libref","4","1","","",
"LMH6609MF","desc","U4,U2,","SOT-23-5","libref","5","2","","",
"LMV358","desc","U5,U1,","SOIC-8_150MIL","libref","8","2","","",
"Through Hole Items ",
"RF in","desc","J1,","RF_conn_pad","libref","39","1","","",
"Singal","desc","J2,","JST_XH_S06B-XH-A_06x2.50mm_Angled","libref","6","1","","",
"RF out","desc","J3,","RF_conn_pad","libref","39","1","","",
"GND","desc","SC4,SC3,SC2,SC1,","M3_Screwhole","libref","7","4","","",
