"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","1206_C","16.75mm","53.25mm","16.75mm","53.25mm","16.75mm","51.76mm","T","90","10p 1KV",
"C10","0805_C","25.15mm","19.15mm","25.15mm","19.15mm","25.15mm","18.26mm","T","90","10uF",
"C11","0805_C","50.0mm","29.0mm","50.0mm","29.0mm","50.0mm","28.11mm","T","90","103",
"C12","0805_C","54.75mm","23.75mm","54.75mm","23.75mm","55.64mm","23.75mm","T","180","10nF",
"C13","0805_C","48.0mm","22.5mm","48.0mm","22.5mm","48.0mm","21.61mm","T","90","10nF",
"C14","0805_C","47.5mm","18.25mm","47.5mm","18.25mm","46.61mm","18.25mm","T","0","104",
"C15","0805_C","40.25mm","19.5mm","40.25mm","19.5mm","40.25mm","18.61mm","T","90","1uF",
"C16","0805_C","53.5mm","10.45mm","53.5mm","10.45mm","54.39mm","10.45mm","T","180","104",
"C2","0805_C","16.33mm","18.131mm","16.33mm","18.131mm","16.33mm","19.021mm","T","270","104",
"C3","0805_C","12.53mm","7.731mm","12.53mm","7.731mm","12.53mm","8.621mm","T","270","1uF",
"C4","0805_C","5.98mm","10.431mm","5.98mm","10.431mm","5.09mm","10.431mm","T","0","104",
"C5","0805_C","12.73mm","20.931mm","12.73mm","20.931mm","11.84mm","20.931mm","T","0","10nF",
"C6","0805_C","6.98mm","20.681mm","6.98mm","20.681mm","6.09mm","20.681mm","T","0","10nF",
"C7","0805_C","9.73mm","28.931mm","9.73mm","28.931mm","9.73mm","29.821mm","T","270","103",
"C8","0805_C","33.16mm","14.35mm","33.16mm","14.35mm","34.05mm","14.35mm","T","180","104",
"C9","0805_C","34.25mm","18.45mm","34.25mm","18.45mm","34.25mm","17.56mm","T","90","10uF",
"D1","SOD-123","9.48mm","13.431mm","9.48mm","13.431mm","9.48mm","11.956mm","T","270","1N4148",
"D2","SOD-123","2.48mm","14.181mm","2.48mm","14.181mm","2.48mm","12.706mm","T","270","1N4148",
"D3","SOD-123","20.8mm","17.0mm","20.8mm","17.0mm","19.325mm","17.0mm","T","180","1N4148",
"D4","SOT-23(SOT-23-3)","6.98mm","24.431mm","6.98mm","24.431mm","6.03mm","23.181mm","T","270","BAT54S",
"D5","SOD-123","27.98mm","14.331mm","27.98mm","14.331mm","26.505mm","14.331mm","T","180","SD123",
"D6","SOT-23(SOT-23-3)","55.2mm","26.85mm","55.2mm","26.85mm","53.95mm","27.8mm","T","180","BAT54S",
"D7","SOD-123","55.25mm","17.5mm","55.25mm","17.5mm","55.25mm","16.025mm","T","270","1N4148",
"D8","SOD-123","54.0mm","13.5mm","54.0mm","13.5mm","55.475mm","13.5mm","T","0","1N4148",
"D9","SOD-123","46.5mm","15.75mm","46.5mm","15.75mm","47.975mm","15.75mm","T","0","1N4148",
"L1","0805_L","12.73mm","17.931mm","12.73mm","17.931mm","13.62mm","17.931mm","T","180","10uH",
"L2","0805_L","51.0mm","22.5mm","51.0mm","22.5mm","51.0mm","23.39mm","T","270","10uH",
"R1","0805_R","22.53mm","14.231mm","22.53mm","14.231mm","23.42mm","14.231mm","T","180","100",
"R10","R_2512","43.0mm","38.0mm","43.0mm","38.0mm","43.0mm","34.9mm","T","90","56 2W",
"R11","1206_R","48.5mm","33.25mm","48.5mm","33.25mm","49.99mm","33.25mm","T","180","330",
"R12","1206_R","49.75mm","37.75mm","49.75mm","37.75mm","49.75mm","39.24mm","T","270","100",
"R13","R_0805","54.75mm","21.0mm","54.75mm","21.0mm","55.7mm","21.0mm","T","180","4.7K",
"R14","R_0805","57.8mm","17.0mm","57.8mm","17.0mm","57.8mm","17.95mm","T","270","1K",
"R15","R_0805","43.0mm","19.5mm","43.0mm","19.5mm","43.0mm","20.45mm","T","270","1M",
"R16","0805_R","41.4mm","15.75mm","41.4mm","15.75mm","42.29mm","15.75mm","T","180","100",
"R17","0805_R","43.4mm","13.0mm","43.4mm","13.0mm","44.29mm","13.0mm","T","180","100",
"R18","0805_R","46.51mm","4.05mm","46.51mm","4.05mm","47.4mm","4.05mm","T","180","100",
"R2","0805_R","17.93mm","5.631mm","17.93mm","5.631mm","17.93mm","4.741mm","T","90","100",
"R3","0805_R","11.98mm","12.681mm","11.98mm","12.681mm","11.98mm","11.791mm","T","90","100",
"R4","R_0805","15.0mm","5.75mm","15.0mm","5.75mm","15.0mm","6.7mm","T","270","1K",
"R5","R_0805","10.0mm","7.5mm","10.0mm","7.5mm","10.0mm","6.55mm","T","90","1M",
"R6","R_0805","6.98mm","18.181mm","6.98mm","18.181mm","6.03mm","18.181mm","T","0","4.7K",
"R7","1206_R","10.23mm","37.431mm","10.23mm","37.431mm","10.23mm","38.921mm","T","270","100",
"R8","1206_R","11.23mm","33.181mm","11.23mm","33.181mm","12.72mm","33.181mm","T","180","330",
"R9","R_2512","16.98mm","37.931mm","16.98mm","37.931mm","16.98mm","34.831mm","T","90","56 2W",
"T1","5943004901","33.112mm","57.228mm","33.112mm","57.228mm","33.112mm","57.228mm","T","0","1T",
"T1","5943004901","26.578mm","57.228mm","26.578mm","57.228mm","26.578mm","57.228mm","T","0","1T",
"T2","5943004901","33.11mm","31.68mm","33.11mm","31.68mm","33.11mm","31.68mm","T","0","33T",
"T2","5943004901","26.508mm","31.68mm","26.508mm","31.68mm","26.508mm","31.68mm","T","0","33T",
"U1","SOIC-8_150MIL","17.18mm","11.881mm","17.18mm","11.881mm","15.275mm","9.281mm","T","0","LMV358",
"U2","SOT-23-5","5.98mm","14.181mm","5.98mm","14.181mm","6.93mm","15.581mm","T","90","LMH6609MF",
"U3","SOT-89(SOT-89-3)","27.93mm","18.531mm","27.93mm","18.531mm","27.93mm","20.031mm","T","180","AZ1117-3.3",
"U4","SOT-23-5","51.75mm","17.25mm","51.75mm","17.25mm","50.8mm","15.85mm","T","270","LMH6609MF",
"U5","SOIC-8_150MIL","46.8mm","8.5mm","46.8mm","8.5mm","44.2mm","10.405mm","T","270","LMV358",
"Through Hole Items ",
"J1","RF_conn_pad","6.093mm","57.355mm","6.093mm","57.355mm","8.093mm","57.355mm","T","0","RF in",
"J2","JST_XH_S06B-XH-A_06x2.50mm_Angled","23.73mm","9.431mm","23.73mm","9.431mm","23.73mm","9.431mm","T","0","Singal",
"J3","RF_conn_pad","53.48mm","57.431mm","53.48mm","57.431mm","51.48mm","57.431mm","T","180","RF out",
"SC1","M3_Screwhole","55.0mm","42.5mm","55.0mm","42.5mm","57.05681mm","43.6875mm","T","0","GND",
"SC2","M3_Screwhole","54.758mm","5.313mm","54.758mm","5.313mm","56.81481mm","6.5005mm","T","0","GND",
"SC3","M3_Screwhole","5.0mm","5.0mm","5.0mm","5.0mm","7.05681mm","6.1875mm","T","0","GND",
"SC4","M3_Screwhole","5.0mm","42.5mm","5.0mm","42.5mm","7.05681mm","43.6875mm","T","0","GND",
