"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"10uF","desc","C6,C4,C1,","1206_C","libref","2","3","","",
"104","desc","C7,C5,C3,C2,","0805_C","libref","2","4","","",
"D","desc","D2,D1,","SOD-123","libref","2","2","","",
"LED","desc","D3,","LED_0805_HandSoldering","libref","2","1","","",
"4148","desc","D4,","SOD-123","libref","2","1","","",
"Ferrite_Bead","desc","FB1,","1206_L","libref","2","1","","",
"Current","desc","J1,","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","libref","4","1","","",
"Vin","desc","J2,","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","libref","4","1","","",
"Fault","desc","J3,","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","libref","4","1","","",
"Conn_01x03","desc","J4,","JST_PH_S3B-PH-SM4-TB_03x2.00mm_Angled","libref","5","1","","",
"G6K-2","desc","K1,","HFD4S","libref","8","1","","",
"8550","desc","Q1,","SOT-23(SOT-23-3)","libref","3","1","","",
"4.7K","desc","R10,R11,","0805_R","libref","2","2","","",
"4.7","desc","R13,R12,","1206_R","libref","2","2","","",
"100K","desc","R4,R3,","0805_R","libref","2","2","","",
"200","desc","R5,","0805_R","libref","2","1","","",
"7.2K","desc","R6,","0805_R","libref","2","1","","",
"2.6K","desc","R7,","0805_R","libref","2","1","","",
"10K","desc","R8,","0805_R","libref","2","1","","",
"1K","desc","R9,R2,R1,","0805_R","libref","2","3","","",
"L78L05_SOT89","desc","U1,","SOT-89(SOT-89-3)","libref","4","1","","",
"LM358","desc","U2,","SOIC-8_150MIL","libref","8","1","","",
