"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","1206_C","38.5mm","16.5mm","38.5mm","16.5mm","37.01mm","16.5mm","T","0","10uF",
"C2","0805_C","13.0mm","22.25mm","13.0mm","22.25mm","12.11mm","22.25mm","T","0","104",
"C3","0805_C","38.25mm","5.5mm","38.25mm","5.5mm","39.14mm","5.5mm","T","180","104",
"C4","1206_C","13.5mm","25.75mm","13.5mm","25.75mm","12.01mm","25.75mm","T","0","10uF",
"C5","0805_C","6.75mm","16.0mm","6.75mm","16.0mm","6.75mm","15.11mm","T","90","104",
"C6","1206_C","32.5mm","10.75mm","32.5mm","10.75mm","32.5mm","9.26mm","T","90","10uF",
"C7","0805_C","18.25mm","11.25mm","18.25mm","11.25mm","18.25mm","12.14mm","T","270","104",
"D1","SOD-123","17.75mm","23.75mm","17.75mm","23.75mm","17.75mm","22.275mm","T","270","D",
"D2","SOD-123","9.25mm","14.6mm","9.25mm","14.6mm","9.25mm","16.075mm","T","90","D",
"D3","LED_0805_HandSoldering","35.0mm","4.0mm","35.0mm","4.0mm","35.0mm","2.65mm","T","90","LED",
"D4","SOD-123","25.25mm","5.5mm","25.25mm","5.5mm","23.775mm","5.5mm","T","180","4148",
"FB1","1206_L","33.5mm","16.5mm","33.5mm","16.5mm","34.99mm","16.5mm","T","180","Ferrite_Bead",
"J1","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","5.0mm","23.25mm","5.0mm","23.25mm","7.875mm","24.25mm","T","270","Current",
"J2","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","37.1mm","23.25mm","37.1mm","23.25mm","34.225mm","22.25mm","T","90","Vin",
"J3","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","5.5mm","5.0mm","5.5mm","5.0mm","8.375mm","6.0mm","T","270","Fault",
"J4","JST_PH_S3B-PH-SM4-TB_03x2.00mm_Angled","25.5mm","29.0mm","25.5mm","29.0mm","27.5mm","26.125mm","T","180","Conn_01x03",
"K1","HFD4S","25.25mm","12.8mm","25.25mm","12.8mm","28.75mm","9.0mm","T","180","G6K-2",
"Q1","SOT-23(SOT-23-3)","31.25mm","3.75mm","31.25mm","3.75mm","30.3mm","2.5mm","T","270","8550",
"R1","0805_R","13.0mm","29.75mm","13.0mm","29.75mm","13.89mm","29.75mm","T","180","1K",
"R10","0805_R","38.25mm","2.5mm","38.25mm","2.5mm","39.14mm","2.5mm","T","180","4.7K",
"R11","0805_R","26.75mm","2.5mm","26.75mm","2.5mm","27.64mm","2.5mm","T","180","4.7K",
"R12","1206_R","28.75mm","21.0mm","28.75mm","21.0mm","28.75mm","19.51mm","T","90","4.7",
"R13","1206_R","21.75mm","21.0mm","21.75mm","21.0mm","21.75mm","22.49mm","T","270","4.7",
"R2","0805_R","5.5mm","12.75mm","5.5mm","12.75mm","6.39mm","12.75mm","T","180","1K",
"R3","0805_R","12.5mm","18.5mm","12.5mm","18.5mm","11.61mm","18.5mm","T","0","100K",
"R4","0805_R","3.0mm","16.0mm","3.0mm","16.0mm","3.0mm","16.89mm","T","270","100K",
"R5","0805_R","21.5mm","2.5mm","21.5mm","2.5mm","22.39mm","2.5mm","T","180","200",
"R6","0805_R","16.5mm","2.5mm","16.5mm","2.5mm","15.61mm","2.5mm","T","0","7.2K",
"R7","0805_R","17.5mm","6.0mm","17.5mm","6.0mm","17.5mm","5.11mm","T","90","2.6K",
"R8","0805_R","13.75mm","6.0mm","13.75mm","6.0mm","13.75mm","5.11mm","T","90","10K",
"R9","0805_R","17.0mm","18.5mm","17.0mm","18.5mm","16.11mm","18.5mm","T","0","1K",
"U1","SOT-89(SOT-89-3)","37.25mm","9.25mm","37.25mm","9.25mm","35.75mm","9.25mm","T","270","L78L05_SOT89",
"U2","SOIC-8_150MIL","13.5mm","13.0mm","13.5mm","13.0mm","15.405mm","15.6mm","T","180","LM358",
