"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"1nF","desc","C12,C11,","0805_C","libref","2","2","","",
"104","desc","C14,C13,C9,C8,C6,C5,C4,C3,C2,","0805_C","libref","2","9","","",
"103","desc","C15,","0805_C","libref","2","1","","",
"10uF","desc","C7,C1,","0805_C","libref","2","2","","",
"4148","desc","D13,D12,D11,D10,D9,D7,D5,D4,D2,D1,","SOD-123","libref","2","10","","",
"Red","desc","D3,","LED_0805_HandSoldering","libref","2","1","","",
"ESD","desc","D8,D6,","SOD-323","libref","2","2","","",
"Ferrite_Bead","desc","FB1,","1206_L","libref","2","1","","",
"Current","desc","J1,","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","libref","4","1","","",
"12Vin","desc","J2,","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","libref","4","1","","",
"Fault","desc","J3,","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","libref","4","1","","",
"REV","desc","J4,","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","libref","4","1","","",
"Conn_01x03","desc","J5,","JST_PH_S3B-PH-SM4-TB_03x2.00mm_Angled","libref","5","1","","",
"Fault Out","desc","J6,","JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled","libref","4","1","","",
"Bias","desc","J7,","Measurement_Point_Square-SMD-Pad_Big","libref","1","1","","",
"G6K-2","desc","K1,","HFD4S","libref","8","1","","",
"8550","desc","Q1,","SOT-23(SOT-23-3)","libref","3","1","","",
"8050","desc","Q2,","SOT-23","libref","3","1","","",
"10K","desc","R10,","0805_R","libref","2","1","","",
"4.7K","desc","R13,R12,","0805_R","libref","2","2","","",
"0","desc","R16,R14,","1206_R","libref","2","2","","",
"0","desc","R20,","0201","libref","2","1","","",
"5.1K","desc","R22,R21,","0805_R","libref","2","2","","",
"1K","desc","R23,R19,R17,R15,R11,R3,R2,R1,","0805_R","libref","2","8","","",
"20K","desc","R4,","0805_R","libref","2","1","","",
"100K","desc","R6,R5,","0805_R","libref","2","2","","",
"0","desc","R7,","0805_R","libref","2","1","","",
"7.5K","desc","R8,","0805_R","libref","2","1","","",
"2.7K","desc","R9,","0805_R","libref","2","1","","",
"L78L05_SOT89","desc","U1,","SOT-89(SOT-89-3)","libref","4","1","","",
"LMV321","desc","U2,","SOT-23-5","libref","5","1","","",
"LM358","desc","U4,U3,","SOIC-8_150MIL","libref","8","2","","",
"Through Hole Items ",
"10K","desc","RV2,RV1,","Potentiometer_Trimmer_Bourns_3296W","libref","3","2","","",
