"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0805_C","16.0mm","36.0mm","16.0mm","36.0mm","15.11mm","36.0mm","T","0","10uF",
"C11","0805_C","39.0mm","25.75mm","39.0mm","25.75mm","38.11mm","25.75mm","T","0","1nF",
"C12","0805_C","23.5mm","28.5mm","23.5mm","28.5mm","23.5mm","27.61mm","T","90","1nF",
"C13","0805_C","45.5mm","2.4mm","45.5mm","2.4mm","45.5mm","1.51mm","T","90","104",
"C14","0805_C","51.1mm","33.8mm","51.1mm","33.8mm","51.99mm","33.8mm","T","180","104",
"C15","0805_C","50.4mm","31.25mm","50.4mm","31.25mm","51.29mm","31.25mm","T","180","103",
"C2","0805_C","38.7mm","13.45mm","38.7mm","13.45mm","38.7mm","12.56mm","T","90","104",
"C3","0805_C","14.9mm","24.6mm","14.9mm","24.6mm","14.9mm","23.71mm","T","90","104",
"C4","0805_C","12.5mm","31.75mm","12.5mm","31.75mm","12.5mm","32.64mm","T","270","104",
"C5","0805_C","13.1mm","7.0mm","13.1mm","7.0mm","12.21mm","7.0mm","T","0","104",
"C6","0805_C","30.85mm","2.55mm","30.85mm","2.55mm","30.85mm","1.66mm","T","90","104",
"C7","0805_C","21.7mm","32.6mm","21.7mm","32.6mm","20.81mm","32.6mm","T","0","10uF",
"C8","0805_C","38.75mm","6.75mm","38.75mm","6.75mm","39.64mm","6.75mm","T","180","104",
"C9","0805_C","19.25mm","13.75mm","19.25mm","13.75mm","20.14mm","13.75mm","T","180","104",
"D1","SOD-123","20.7mm","25.4mm","20.7mm","25.4mm","20.7mm","23.925mm","T","270","4148",
"D10","SOD-123","52.1mm","27.5mm","52.1mm","27.5mm","52.1mm","26.025mm","T","270","4148",
"D11","SOD-123","37.15mm","30.75mm","37.15mm","30.75mm","37.15mm","29.275mm","T","270","4148",
"D12","SOD-123","39.65mm","23.1mm","39.65mm","23.1mm","41.125mm","23.1mm","T","0","4148",
"D13","SOD-123","39.65mm","21.1mm","39.65mm","21.1mm","41.125mm","21.1mm","T","0","4148",
"D2","SOD-123","23.4mm","11.8mm","23.4mm","11.8mm","23.4mm","13.275mm","T","90","4148",
"D3","LED_0805_HandSoldering","36.15mm","15.1mm","36.15mm","15.1mm","36.15mm","16.45mm","T","270","Red",
"D4","SOD-123","39.75mm","9.75mm","39.75mm","9.75mm","38.275mm","9.75mm","T","180","4148",
"D5","SOD-123","30.4mm","9.35mm","30.4mm","9.35mm","28.925mm","9.35mm","T","180","4148",
"D6","SOD-323","32.4mm","27.6mm","32.4mm","27.6mm","33.58mm","27.6mm","T","0","ESD",
